Nome,Preço,Categoria,Avaliação,Número de avaliações,Termômetro,Vendedor
Xiaomi Redmi Note 7 (48 Mpx) Dual SIM 64 GB neptune blue 4 GB RAM,"1.128,60",Celulares e Smartphones,4.8,2260.0,5.0,SEU_JEITO_CONECTADO
Celular De Idoso Multilaser Flip Vita Duo Sim 32 Mb Preto,199,Celulares e Smartphones,4.7,64.0,5.0,NOVA.P
Multilaser F Pro Dual SIM 16 GB ouro 1 GB RAM,"434,69",Celulares e Smartphones,3.9,298.0,5.0,Loi Brasil
Apple iPhone 14 Pro Max (256 GB) - Preto-espacial,"13.618,44",Celulares e Smartphones,4.9,139.0,5.0,VATRA STORE.COM.BR
Xiaomi Redmi Note 11 Pro+ 5G (MediaTek) Dual SIM 128 GB preto 6 GB RAM,"2.294,15",Celulares e Smartphones,4.9,120.0,5.0,VITT_JS
Positivo Twist 4 Fit S509N Dual SIM 32 GB vermelho 1 GB RAM,"485,10",Celulares e Smartphones,4.0,180.0,5.0,Positivo
Apple iPhone 14 Plus (512 GB) - Estelar,9.799,Celulares e Smartphones,5.0,6.0,5.0,LOJA IPLACE
Asus ZenFone 9 Dual SIM 128 GB vermelho 8 GB RAM,"4.399,12",Celulares e Smartphones,4.3,4.0,5.0,Asus
Apple iPhone 12 (128 GB) - Branco,4.524,Celulares e Smartphones,4.8,792.0,5.0,FASTSHOP OFICIAL
Apple iPhone 14 (256 GB) - (PRODUCT)RED,6.892,Celulares e Smartphones,4.8,55.0,5.0,FASTSHOP OFICIAL
Apple iPhone 13 (256 GB) - Rosa,5.599,Celulares e Smartphones,4.9,683.0,5.0,LOJA IPLACE
Positivo Twist 4 Fit S514 Dual SIM 64 GB vermelho 1 GB RAM,496,Celulares e Smartphones,3.5,88.0,5.0,Maxx Na Sua Casa
Apple iPhone 13 mini (128 GB) - Estelar,4.895,Celulares e Smartphones,4.9,42.0,5.0,VICTOR_H2014
Xiaomi Redmi 10A Dual SIM 32 GB cinza 2 GB RAM,"744,51",Celulares e Smartphones,4.6,1158.0,5.0,MELORAFA0
Apple iPhone 14 Pro (256 GB) - Dourado,8.999,Celulares e Smartphones,4.9,58.0,5.0,Iplace
Xiaomi Redmi Note 11S Dual SIM 128 GB graphite gray 8 GB RAM,"1.334,55",Celulares e Smartphones,4.7,3422.0,5.0,PIGA4867747
 Moto G8 Dual SIM 64 GB neon blue 4 GB RAM,"1.193,54",Celulares e Smartphones,4.6,127.0,5.0,TECMODENA
Multilaser Vita IV com Base Dual SIM 32 MB preto 24 MB RAM,"180,40",Celulares e Smartphones,4.2,160.0,5.0,SOUTOFERJOSE
Xiaomi Mi A3 Dual SIM 64 GB azulón 4 GB RAM,"1.069,70",Celulares e Smartphones,4.8,2022.0,5.0,MZ ELETRO
Asus ROG Phone 6 Dual SIM 256 GB phantom black 8 GB RAM,"6.159,12",Celulares e Smartphones,5.0,1.0,5.0,Asus
Xiaomi Redmi Note 10 5G Dual SIM 128 GB graphite gray 4 GB RAM,"1.493,17",Celulares e Smartphones,4.6,495.0,5.0,VITT_JS
Samsung Galaxy A23 5G 5G 128 GB awesome blue 4 GB RAM,1.599,Celulares e Smartphones,4.8,12.0,5.0,SUPPLY CASES.STORE
